Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay1C89Q6_Both_75,20240521_1823_WBLMay1C89Q6,Both,75,Both_75,1553.18435,1553.36,1553.6001
20240521_1823_WBLMay1C89Q6_A_76,20240521_1823_WBLMay1C89Q6,A,76,A_76,1555.2399999999998,1554.0,1557.12
20240521_1823_WBLMay1C89Q6_B_77,20240521_1823_WBLMay1C89Q6,B,77,B_77,1559.81935,1558.6937,1565.6387
20240521_1823_WBLMay1C89Q6_Both_77,20240521_1823_WBLMay1C89Q6,Both,77,Both_77,1560.03265,1560.3329,1561.3716
20240521_1823_WBLMay1C89Q6_A_78,20240521_1823_WBLMay1C89Q6,A,78,A_78,1563.24915,1565.686,1566.1654
20240521_1823_WBLMay1C89Q6_B_79,20240521_1823_WBLMay1C89Q6,B,79,B_79,1574.2514999999999,1573.6365,1582.817
20240521_1823_WBLMay1C89Q6_A_80,20240521_1823_WBLMay1C89Q6,A,80,A_80,1582.75,1588.7582,1591.8635
20240521_1823_WBLMay1C89Q6_B_80,20240521_1823_WBLMay1C89Q6,B,80,B_80,1590.3116,1591.625,1591.865
20240521_1823_WBLMay1C89Q6_Both_80,20240521_1823_WBLMay1C89Q6,Both,80,Both_80,1592.2618499999999,1592.1024,1592.8987
20240521_1823_WBLMay1C89Q6_B_81,20240521_1823_WBLMay1C89Q6,B,81,B_81,1593.4236999999998,1594.265,1594.745
20240521_1823_WBLMay1GP8HB_B_1,20240521_1823_WBLMay1GP8HB,B,1,B_1,798.4289865000001,1.7153513,2.592973
20240521_1823_WBLMay1GP8HB_A_2,20240521_1823_WBLMay1GP8HB,A,2,A_2,3.3043059,3.3019564,4.8932605
20240521_1823_WBLMay1GP8HB_B_3,20240521_1823_WBLMay1GP8HB,B,3,B_3,29.955862200000002,5.943892,56.609768
20240521_1823_WBLMay1GP8HB_A_4,20240521_1823_WBLMay1GP8HB,A,4,A_4,32.9069475,58.670002,59.870003
20240521_1823_WBLMay1GP8HB_B_5,20240521_1823_WBLMay1GP8HB,B,5,B_5,59.958391,60.926987,61.24678
20240521_1823_WBLMay1GP8HB_A_6,20240521_1823_WBLMay1GP8HB,A,6,A_6,73.647831,63.870003,86.368675
